Timestamp,Full Name,Gender,Use phone for class notes,Buy books from mobile,Phone battery lasts a day,Run for charger when battery dies,Worry about losing phone,Take phone to bathroom,Use phone in social gathering,Check phone before sleep/after waking up,Keep phone next to you while sleeping,Check emails/missed calls/texts during class time,Rely on phone when things get awkward,On phone while watching TV/eating,Panic attack if phone left elsewhere,Respond to messages/check phone on date,Use phone for playing games,Can live a day without phone,Phone Dependency Level
2023-01-01 00:00:00,User_1,Male,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,High
2023-01-01 00:01:00,User_2,Female,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,High
2023-01-01 00:02:00,User_3,Male,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,Moderate
2023-01-01 00:03:00,User_4,Male,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,Moderate
2023-01-01 00:04:00,User_5,Male,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,Moderate
2023-01-01 00:05:00,User_6,Female,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,High
2023-01-01 00:06:00,User_7,Male,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,Moderate
2023-01-01 00:07:00,User_8,Male,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,Moderate
2023-01-01 00:08:00,User_9,Male,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,High
2023-01-01 00:09:00,User_10,Female,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,High
2023-01-01 00:10:00,User_11,Male,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,Moderate
2023-01-01 00:11:00,User_12,Male,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,Moderate
2023-01-01 00:12:00,User_13,Male,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,High
2023-01-01 00:13:00,User_14,Male,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,High
2023-01-01 00:14:00,User_15,Female,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,High
2023-01-01 00:15:00,User_16,Male,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,High
2023-01-01 00:16:00,User_17,Female,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,High
2023-01-01 00:17:00,User_18,Female,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,High
2023-01-01 00:18:00,User_19,Female,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,Moderate
2023-01-01 00:19:00,User_20,Male,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,Moderate
2023-01-01 00:20:00,User_21,Female,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,High
2023-01-01 00:21:00,User_22,Male,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,Moderate
2023-01-01 00:22:00,User_23,Female,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,High
2023-01-01 00:23:00,User_24,Female,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,High
2023-01-01 00:24:00,User_25,Female,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,High
2023-01-01 00:25:00,User_26,Female,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,Moderate
2023-01-01 00:26:00,User_27,Female,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,Moderate
2023-01-01 00:27:00,User_28,Female,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,High
2023-01-01 00:28:00,User_29,Female,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,High
2023-01-01 00:29:00,User_30,Female,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,High
2023-01-01 00:30:00,User_31,Male,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,High
2023-01-01 00:31:00,User_32,Male,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,High
2023-01-01 00:32:00,User_33,Female,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,High
2023-01-01 00:33:00,User_34,Female,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,High
2023-01-01 00:34:00,User_35,Female,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,High
2023-01-01 00:35:00,User_36,Male,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,Moderate
2023-01-01 00:36:00,User_37,Female,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,High
2023-01-01 00:37:00,User_38,Male,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Low
2023-01-01 00:38:00,User_39,Male,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,Moderate
2023-01-01 00:39:00,User_40,Male,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,High
2023-01-01 00:40:00,User_41,Male,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,High
2023-01-01 00:41:00,User_42,Male,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,Moderate
2023-01-01 00:42:00,User_43,Female,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,High
2023-01-01 00:43:00,User_44,Female,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,High
2023-01-01 00:44:00,User_45,Female,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,High
2023-01-01 00:45:00,User_46,Female,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,High
2023-01-01 00:46:00,User_47,Female,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,High
2023-01-01 00:47:00,User_48,Male,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,Moderate
